"DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P5010","P8526","P8530","REGION","DEPARTAMENTO","PERSONAS","FEX_C","logro_educativo","analfabetismo","inasistencia_escolar","rezago_escolar","atencion_integral","trabajo_infantil","aseguramiento_salud","barreras_acceso_salud","desempleo_larga_duracion","empleo_formal","acueducto","alcantarillado","pisos","paredes","hacinamiento","IPM","POBRE","FEXP","PERIODO","P1075","P1077S21","P1077S22","P1077S23"
8410055,1,5,3,1,1,1,23,5,301.222673721106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,1506.11336860553,NA,NA,NA,NA,NA
8410056,1,3,2,1,1,1,23,3,262.728629097456,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,788.185887292368,NA,NA,NA,NA,NA
8410057,1,1,1,1,1,1,23,1,749.04674255729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.04674255729,20250731,1,2,2,2
8410058,1,3,2,1,1,1,23,3,563.392653457152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1690.17796037146,NA,NA,NA,NA,NA
8410059,1,4,1,1,1,1,23,4,293.694021819191,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.24,0,1174.77608727676,NA,NA,NA,NA,NA
8410060,1,6,3,1,1,1,23,6,232.818183629015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.15,0,1396.90910177409,NA,NA,NA,NA,NA
8410061,1,3,2,1,1,1,23,3,340.15975509898,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,1020.47926529694,NA,NA,NA,NA,NA
8410062,1,6,5,1,1,1,23,6,124.841123759548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,749.046742557288,NA,NA,NA,NA,NA
8410063,1,4,2,1,1,1,23,4,124.841123759548,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,499.364495038192,NA,NA,NA,NA,NA
8410064,1,3,3,1,1,1,23,3,124.841123759548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.523371278644,NA,NA,NA,NA,NA
