PERIODO	DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6040	FEX_C	P6090	P5665	P8563	P51	P55	P6160	P8586	P8587	P8587S1	P1088	P1088S1	P6180	P6240	P6250	P6260	P6270	P6351	P6390S1	P7250	P6920
20140939	2992383	2	1	2	25	385.864035534255	1	2				1	2	11	5				1					7412		1
20140939	2992385	1	1	1	58	258.071341445958	1	1	1			1	2	5	11				6	2	1			8511		1
20140939	2992385	2	1	2	59	258.071341445958	1	1	7			2	2	1	0				1					5223		2
20140939	2992385	3	1	3	33	258.071341445958	1	2				1	2	5	11				1					5244		2
20140939	2992385	4	1	4	11	258.071341445958	1	2				1	1			3	6	2								
20140939	2992385	5	1	5	9	258.071341445958	1	2				1	1			2	4	2								
20140939	2992386	1	1	1	74	1839.76000690431	1	2				1	2	3	4				4	2	2	2	1		3	2
20140939	2992386	2	1	2	64	1839.76000690431	1	2				1	2	4	6				4	2	2	2				2
20140939	2992386	3	1	3	39	1839.76000690431	1	2				1	2	5	11				1					6031		1
20140939	2992387	1	1	1	39	1921.52583463749	1	2				1	2	4	7				1					6412		2
20140939	2992387	2	1	2	34	1921.52583463749	1	2				1	2	4	7				4	1				1810		2
20140939	2992387	3	1	3	18	1921.52583463749	1	2				1	1			6	1	2	3	2	2	2				2
20140939	2992387	4	1	4	17	1921.52583463749	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2992387	5	1	5	15	1921.52583463749	1	2				1	1			3	7	2	3	2	2	2				2
20140939	2992387	6	1	6	14	1921.52583463749	1	2				1	1			1	1	2	3	2	2	2				2
20140939	2992387	7	1	7	2	1921.52583463749	1	2		2	1															
20140939	2992388	1	1	1	71	948.394569415436	1	2				1	2	5	11				6	2	2	2				2
20140939	2992388	2	1	2	59	948.394569415436	1	2				1	2	6	2				4	2	2	2				2
20140939	2992388	3	1	3	22	948.394569415436	1	2				1	2	7	3				1					7513		1
20140939	2992388	4	1	4	18	948.394569415436	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2992389	1	1	1	48	101.259028632073	1	2				1	2	3	3				4	2	2	2				2
20140939	2992389	2	1	2	24	101.259028632073	1	2				1	2	5	11				1					5239		2
20140939	2992390	1	1	1	76	1221.88359771481	1	2				2	2	1	0				5							2
20140939	2992390	2	1	2	76	1221.88359771481	1	1	1			1	2	3	2				4	2	2	2				2
20140939	2992390	3	1	3	47	1221.88359771481	1	2				1	2	5	11				1					5241		2
20140939	2992390	4	1	4	22	1221.88359771481	1	2				1	2	5	11				1					1110		1
20140939	2992391	1	1	1	49	271.333623542646	1	2				2	2	1	0				4	1				5529		2
20140939	2992391	2	1	2	52	271.333623542646	1	2				2	2	1	0				1					1320		2
20140939	2992391	3	1	3	26	271.333623542646	1	2				1	2	7	2				4	2	2	2				2
20140939	2992391	4	1	4	52	271.333623542646	1	2				1	2	3	5				1					140		2
20140939	2992392	1	1	1	18	1742.55004078448	1	2				1	2	4	9				1					5262		2
20140939	2992392	2	1	2	22	1742.55004078448	1	2				1	2	5	11				4	2	2	2				2
20140939	2992392	3	1	3	0	1742.55004078448	1	2		2	1															
20140939	2992393	1	1	1	58	112.243592979516	1	2				1	2	3	2				4	2	2	2				2
20140939	2992393	2	1	2	30	112.243592979516	1	2				1	2	3	2				5							2
20140939	2992394	1	1	1	54	263.132866987922	1	2				1	2	3	5				4	1				114		2
